%time,field.siVehicleSpeed,field.siSteeringAngle,field.siSteeringVelocity,field.siTargetSteeringAngle,field.siTargetSteeringVelocity,field.siTargetTorque,field.siTargetBrakePressure,field.siBrakePressure,field.siSteeringTorqueVoltage,field.siSteeringDAC_A,field.siSteeringDAC_B,field.siAcceleratorPedal
1517122675973889320,17.98,17.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.875
1517122676085848397,18.3,15.4,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.875
1517122676181510073,18.55,12.6,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676293505027,18.93,10.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676389407643,19.29,9.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676501513700,19.5,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676597249916,19.78,8.7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676709165826,20.17,6.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676821068229,20.4,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122676916984096,20.67,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122677028932128,21.0,5.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,16.75
1517122677125091937,21.25,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.875
1517122677236939193,21.53,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.75
1517122677332727048,21.76,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.75
1517122677444678027,22.02,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.75
1517122677556819325,22.39,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.75
1517122677652522887,22.56,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.125
1517122677764523695,22.74,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.125
1517122677860426061,22.94,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,13.875
1517122677972732871,23.13,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.125
1517122678068356836,23.33,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.125
1517122678180173397,23.52,3.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.0
1517122678292088523,23.74,2.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.0
1517122678387977768,23.87,1.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,13.75
1517122678500005836,24.08,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,13.75
1517122678596160622,24.24,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,13.25
1517122678707723952,24.26,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,5.625
1517122678803696060,24.45,0.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,5.625
1517122678915640169,24.52,-0.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,6.5
1517122679027397616,24.54,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,7.125
1517122679123411702,24.55,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,7.125
1517122679236040344,24.53,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,4.625
1517122679331367063,24.52,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122679443160065,24.45,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122679539078959,24.4,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122679651095651,24.24,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122679762974484,24.1,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122679858833801,23.98,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122679971011587,23.86,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680066762810,23.64,-0.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122680178532225,23.52,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680274664004,23.44,-0.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680386472256,23.23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680482320377,23.05,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680594346014,22.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680707070468,22.68,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680802084850,22.66,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122680913985736,22.52,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681009968426,22.31,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681121946226,22.23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681217802680,22.12,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681329672626,21.82,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681441844761,21.77,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681537542701,21.62,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681649392152,21.49,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122681745337959,21.32,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,4.125
1517122681857432075,21.27,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,13.625
1517122681953228921,21.29,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,14.625
1517122682065482453,21.36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.125
1517122682176991186,21.57,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,15.0
1517122682272942978,21.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,11.875
1517122682384830545,21.88,-0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122682480779418,21.96,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122682592807148,21.85,-0.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122682688674477,21.84,-2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122682800515853,21.79,-4.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,2.49641601562,2.49641601562,0.0
1517122682913609552,21.63,-4.5,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122683008367656,21.48,-4.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.49641601562,2.49641601562,0.0
1517122683120319990,21.26,-4.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.49641601562,2.49641601562,0.0
1517122683216219064,20.89,-4.4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.49641601562,2.49641601562,0.0
1517122683328080842,20.48,-4.4,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.49641601562,2.49641601562,0.0
1517122683424562481,19.9,-4.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.49641601562,2.49641601562,0.0
1517122683535841793,19.24,-4.2,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122683648073001,18.62,-4.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49641601562,2.49641601562,0.0
1517122683743899109,17.97,-3.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122683855544652,17.15,-3.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122683951491588,16.47,-3.6,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122684063393040,15.82,-3.1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122684159289976,15.13,-2.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.49641601562,2.49641601562,0.0
1517122684271191356,14.32,-2.6,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684367314041,13.58,-2.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684479190435,12.95,-2.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684590999989,12.12,-1.6,12.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684686922211,11.34,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684798961760,10.8,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122684895094461,9.98,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122685006762302,9.36,-0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122685102772201,8.53,-0.8,4.0,0.0,0.0,0.0,0.0,2.0,0.0,2.49641601562,2.49641601562,0.0
1517122685214566172,7.88,-0.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.49641601562,2.49641601562,0.0
1517122685326444579,7.2,-0.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.49641601562,2.49641601562,0.0
1517122685422400476,6.55,-0.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.49641601562,2.49641601562,0.0
1517122685534311290,5.79,-0.7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.49641601562,2.49641601562,0.0
1517122685630308067,5.14,-0.7,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.49641601562,2.49641601562,0.0
1517122685742214224,4.57,-0.7,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.49641601562,2.49641601562,0.0
