%time,field.lefttype,field.righttype,field.leftconf,field.rightconf,field.curvature,field.heading,field.leftoffset,field.rightoffset
1517122812712805609,2,2,0,0,0.0,0.0,-1.87999999523,1.62000000477
1517122812815951244,2,2,0,0,0.0,0.0,-1.87999999523,1.62000000477
1517122812917455666,2,2,0,0,0.0,0.0,-1.87999999523,1.62000000477
1517122813016220598,2,2,0,0,0.0,0.0,-1.87999999523,1.62000000477
1517122813109866491,2,1,0,2,0.0,0.0,-1.87999999523,2.1400001049
1517122813203448844,2,1,0,2,0.0,0.0,-1.87999999523,2.16000008583
1517122813303625022,2,1,0,2,0.0,0.0,-1.87999999523,2.18000006676
1517122813395723532,2,1,0,2,0.0,0.0,-1.15999996662,2.1400001049
1517122813488063554,2,1,0,2,0.0,0.0,-1.15999996662,2.16000008583
1517122813584573487,2,1,0,2,0.0,0.0,-1.13999998569,2.16000008583
1517122813684924820,2,1,0,2,0.0,0.0,-1.12000000477,2.18000006676
1517122813781747497,2,1,0,2,0.0,0.0,-1.10000002384,2.18000006676
1517122813882845080,2,1,0,2,0.0,0.0,-1.10000002384,2.20000004768
1517122813976354720,2,1,0,2,0.0,0.0,-1.05999994278,2.22000002861
1517122814073239569,2,1,0,2,0.0,0.0,-1.03999996185,2.22000002861
1517122814173718785,2,1,0,2,0.0,0.0,-1.01999998093,2.24000000954
1517122814279254542,2,1,0,2,0.0,0.0,-1.0,2.25999999046
1517122814388562702,2,2,0,2,0.0,0.0,-0.980000019073,2.25999999046
1517122814503185487,2,2,0,2,0.0,0.0,-0.980000019073,2.27999997139
1517122814614508143,2,2,0,2,0.0,0.0,-0.959999978542,2.29999995232
1517122814726225170,2,2,0,2,0.0,0.0,-0.939999997616,2.29999995232
1517122814838759934,2,2,0,2,0.0,0.0,-0.920000016689,2.31999993324
1517122814950462438,2,2,0,2,0.0,0.0,-0.920000016689,2.33999991417
1517122815061255824,2,2,0,2,0.0,0.0,-0.899999976158,2.3599998951
1517122815166481285,2,2,0,2,0.0,0.0,-0.899999976158,2.3599998951
1517122815270970181,2,1,0,2,0.0,0.0,-1.94000005722,1.77999997139
1517122815377913282,2,1,0,2,0.0,0.0,-1.89999997616,1.79999995232
1517122815481727494,2,1,0,2,0.0,0.0,-1.87999999523,1.82000005245
1517122815582709645,2,1,0,2,0.0,0.0,-1.86000001431,1.82000005245
1517122815684625414,2,1,0,2,0.0,0.0,-1.82000005245,1.84000003338
1517122815784371507,2,1,0,2,0.0,0.0,-1.79999995232,1.84000003338
1517122815887147243,2,1,0,2,0.0,0.0,-1.77999997139,1.84000003338
1517122815989986829,2,1,0,2,0.0,0.0,-1.74000000954,1.86000001431
1517122816092874928,2,1,0,2,0.0,0.0,-1.72000002861,1.86000001431
1517122816196220208,2,1,0,2,0.0,0.0,-1.70000004768,1.86000001431
1517122816302763466,2,1,0,2,0.0,0.0,-1.67999994755,1.87999999523
1517122816404133351,2,1,0,2,0.0,0.0,-1.65999996662,1.87999999523
1517122816501811366,2,1,0,2,0.0,0.0,-1.63999998569,1.87999999523
1517122816597052267,2,1,0,2,0.0,0.0,-1.62000000477,1.89999997616
1517122816691237417,2,0,0,2,0.0,0.0,-1.60000002384,1.89999997616
1517122816797219989,2,0,0,2,0.0,0.0,-1.60000002384,1.89999997616
1517122816892816529,2,0,0,2,0.0,0.0,-1.58000004292,1.89999997616
1517122816988920713,0,0,1,2,0.0,0.0,-1.27999997139,1.91999995708
1517122817096079940,2,0,1,2,0.0,0.0,-1.27999997139,1.91999995708
1517122817194236261,0,0,1,2,0.0,0.0,-1.25999999046,1.91999995708
1517122817290334848,0,0,1,2,0.0,0.0,-1.25999999046,1.91999995708
1517122817392861976,0,0,1,2,0.0,0.0,-1.24000000954,1.91999995708
1517122817491690148,0,0,1,2,0.0,0.0,-1.22000002861,1.91999995708
1517122817587923269,0,0,3,2,0.0,0.0,-1.22000002861,1.91999995708
1517122817686097365,0,0,3,2,0.0,0.0,-1.22000002861,1.91999995708
1517122817784801481,2,0,1,2,0.0,0.0,-1.22000002861,1.91999995708
1517122817879033778,2,0,1,2,0.0,0.0,-1.22000002861,1.91999995708
1517122817974054335,2,0,1,2,0.0,0.0,-1.22000002861,1.91999995708
1517122818069342182,2,0,0,2,0.0,0.0,-1.22000002861,1.91999995708
1517122818163816714,2,0,0,2,0.0,0.0,-1.24000000954,1.91999995708
1517122818263249402,2,0,0,2,0.0,0.0,-1.24000000954,1.91999995708
1517122818360679028,2,0,0,2,0.0,0.0,-1.24000000954,1.89999997616
1517122818457670378,2,0,0,2,0.0,0.0,-1.24000000954,1.89999997616
1517122818554854464,2,0,0,2,0.0,0.0,-1.25999999046,1.89999997616
1517122818655833968,2,0,0,2,0.0,0.0,-1.25999999046,1.87999999523
1517122818751835610,2,0,0,2,0.0,0.0,-1.27999997139,1.86000001431
1517122818846524223,2,0,0,2,0.0,0.0,-1.27999997139,1.86000001431
1517122818947640918,2,1,0,2,0.0,0.0,-1.27999997139,1.86000001431
1517122819043824745,2,1,0,2,0.0,0.0,-1.29999995232,1.84000003338
1517122819145891705,2,1,0,2,0.0,0.0,-1.29999995232,1.84000003338
1517122819250740521,2,1,0,2,0.0,0.0,-1.32000005245,1.82000005245
1517122819347905960,2,1,0,2,0.0,0.0,-1.32000005245,1.79999995232
1517122819445036731,2,1,0,2,0.0,0.0,-1.34000003338,1.79999995232
1517122819539182140,2,1,0,2,0.0,0.0,-1.34000003338,1.79999995232
1517122819633901666,2,1,0,2,0.0,0.0,-1.34000003338,1.79999995232
1517122819731191514,2,1,0,2,0.0,0.0,-1.34000003338,1.79999995232
